ANO;NOME;ESCOLA;CIDADE;ESTADO;PREMIO
2018;;Cia. De Dança de Cubatão;Cubatão;SP;Melhor Grupo
2018;Jeison Lopes;Centro de Artes Pavarini;São PAulo;SP;Melhor Bailarino
2018;Yasmin Matos;Cia. De Dança de Cubatão;Cubatão;SP;Melhor Bailarina
2018;Gladstone Navarro;Grupo Cultura do Guetto;Belo Horizonte;MG;Melhor Coreógrafo
2018;Andréa Delgado;Figurinista - Harlequinade - Balé Jovem do Centro Cultural Gustav Ritter;Goiânia;GO;Pêmio Especial
2019;;Gandhicats Project;Manaus;AM;Melhor Grupo
2019;Paulo Vitor Rodrigues;Cia de Ballet Adriana Assaf;São Paulo;SP;Melhor Bailarino
2019;Natalia Antunes;Grupo Roseli Rodrigues;São Paulo;SP;Melhor Bailarina
2019;Monique Paes;Monique Paes Studio de Dança;Jacareí;SP;Melhor Coreógrafa
2019;Ana Maria Campos;Balé Jovem do Centro Cultural Gustav Ritter;Goiânia;GO;Prêmio Especial
2019;João Vitor Percílio;Grupo Vórtice;Belo Horizonte;MG;Prêmio Daniel Camargo
